State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
PA,MCKEAN,2,100,2,3.5,3.5
AL,ETOWAH,2,0,2,2.5,2.5
KS,CLARK,2,0,0,nan,nan
LA,RICHLAND,2,0,1,3.0,3.0
KS,HARPER,2,0,0,nan,nan
FL,ALACHUA,2,50,2,2.5,2.5
AR,CRAIGHEAD,2,100,2,2.0,2.0
VA,NEWPORT NEWS CITY,2,100,2,3.5,3.5
UT,MILLARD,2,100,0,nan,nan
KS,SUMNER,2,0,1,3.0,3.0
MO,BOONE,2,0,2,4.0,4.0
FL,WALTON,2,0,2,3.0,3.0
KS,COWLEY,2,0,1,3.0,3.0
ID,VALLEY,2,50,0,nan,nan
IL,MONTGOMERY,2,50,0,2.5,2.5
NC,BRUNSWICK,2,0,1,3.5,3.5
KS,NESS,2,0,0,nan,nan
WI,RACINE,2,50,2,3.0,3.0
NC,GUILFORD,2,100,2,3.5,3.5
IL,MCLEAN,2,0,2,4.5,4.5
NY,ESSEX,2,100,0,3.0,3.0
IN,HENDRICKS,2,0,2,5.0,5.0
MS,SIMPSON,2,50,1,2.5,2.5
OH,WILLIAMS,2,50,1,3.0,3.0
OH,COLUMBIANA,2,100,2,2.5,2.5
CO,RIO BLANCO,2,0,0,nan,nan
TX,MATAGORDA,2,50,1,4.0,4.0
NY,RICHMOND,2,100,2,1.0,1.0
PA,JEFFERSON,2,100,1,4.0,4.0
MI,INGHAM,2,50,2,3.0,3.0
CO,EL PASO,2,50,2,3.0,3.0
CT,TOLLAND,2,50,2,4.0,4.0
CA,INYO,2,0,0,4.0,4.0
WV,FAYETTE,2,50,0,4.0,4.0
OK,GARVIN,2,0,2,4.0,4.0
AL,TALLADEGA,2,50,2,2.5,2.5
ND,ROLETTE,2,50,1,nan,nan
MS,SCOTT,2,100,0,4.0,4.0
TX,NACOGDOCHES,2,0,2,3.0,3.0
AL,HOUSTON,2,0,2,3.5,3.5
MS,PEARL RIVER,2,0,1,3.0,3.0
FL,BAY,2,0,2,3.0,3.0
WY,LINCOLN,2,0,0,4.0,4.0
AL,MARION,2,50,2,4.0,4.0
ME,ANDROSCOGGIN,2,100,2,3.0,3.0
MI,BERRIEN,2,100,2,4.0,4.0
TX,YOUNG,2,0,1,2.5,2.5
AL,BUTLER,2,0,2,3.5,3.5
MN,WATONWAN,2,0,0,nan,nan
SD,LAWRENCE,2,100,1,4.0,4.0
MN,SWIFT,2,0,0,nan,nan
TX,GALVESTON,2,50,1,2.0,2.0
WV,MERCER,2,0,2,2.0,2.0
AR,SEBASTIAN,2,50,2,2.5,2.5
